#rank	title	distributor	href	year	poster	trailer
3	Lethal Weapon 2	Warner Bros.	Lethal_Weapon_2	1989	6/67/Lethal_Weapon_2_Poster.jpg	
4	Look Who's Talking	Tri-Star	Look_Who's_Talking	1989	d/de/Look_whos_talking.jpg	
5	Honey, I Shrunk the Kids	Buena Vista	Honey,_I_Shrunk_the_Kids	1989	4/4b/Honey_I_Shrunk_the_kids.jpg	
6	Back to the Future Part II	Universal Pictures	Back_to_the_Future_Part_II	1989	c/c2/Back_to_the_Future_Part_II.jpg	
7	Ghostbusters II	Columbia	Ghostbusters_II	1989	0/01/Ghostbusters_ii_poster.jpg	
8	Driving Miss Daisy	Warner Bros.	Driving_Miss_Daisy	1989	a/a5/Driving_Miss_Daisy_.jpg	
9	Parenthood	Universal	Parenthood_(film)	1989	3/33/Parenthood_(film)_poster.png	
10	Dead Poets Society	Buena Vista Pictures Distribution	Dead_Poets_Society	1989	4/49/Dead_poets_society.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Home Alone	20th Century Fox	Home_Alone	1990	7/76/Home_alone_poster.jpg	
2	Ghost	Paramount	Ghost_(1990_film)	1990	4/41/Ghost_(1990_movie_poster).jpg	
3	Dances with Wolves	Orion Pictures	Dances_with_Wolves	1990	8/82/Dances_with_Wolves_poster.jpg	
4	Pretty Woman	Buena Vista	Pretty_Woman	1990	b/b6/Pretty_woman_movie.jpg	
5	Teenage Mutant Ninja Turtles	New Line Cinema	Teenage_Mutant_Ninja_Turtles_(1990_film)	1990	8/8d/Teenage_Mutant_Ninja_Turtles_(1990_film)_poster.jpg	
6	The Hunt for Red October	Paramount	The_Hunt_for_Red_October_(film)	1990	3/36/The_Hunt_for_Red_October_movie_poster.png	
7	Total Recall	Tri-Star	Total_Recall_(1990_film)	1990	2/2d/Total_Recall_(1990_film)_poster.jpg	
8	Die Hard 2	20th Century Fox	Die_Hard_2	1990	2/2c/Die_Hard_2.jpg	
9	Dick Tracy	Buena Vista Pictures Distribution	Dick_Tracy_(1990_film)	1990	9/9d/Dick_tracy1.jpg	
10	Kindergarten Cop	Universal	Kindergarten_Cop	1990	3/36/Kindergarten_Cop_film.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Terminator 2: Judgment Day	Tri-Star	Terminator_2:_Judgment_Day	1991	8/85/Terminator2poster.jpg	
2	Robin Hood: Prince of Thieves	Warner Bros.	Robin_Hood:_Prince_of_Thieves	1991	4/4f/Robin_hood_1991.jpg	
3	Beauty and the Beast	Buena Vista Pictures Distribution, Inc.	Beauty_and_the_Beast_(1991_film)	1991	5/5e/Beauty_and_the_Beast_(1991_film)_poster.jpg	
